Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 51,825 milliseconds (51.83 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 49,623 milliseconds (49.62 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 45,979 milliseconds (45.98 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 46,737 milliseconds (46.74 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 47,903 milliseconds (47.90 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 61,888 milliseconds (61.89 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 44,590 milliseconds (44.59 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 44,714 milliseconds (44.71 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 45,048 milliseconds (45.05 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 48,015 milliseconds (48.02 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 96,972 milliseconds (96.97 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 92,409 milliseconds (92.41 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 97,590 milliseconds (97.59 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 103,178 milliseconds (103.18 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 99,023 milliseconds (99.02 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 96,552 milliseconds (96.55 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 99,427 milliseconds (99.43 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 93,930 milliseconds (93.93 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 94,830 milliseconds (94.83 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 96,753 milliseconds (96.75 seconds).
