Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 112,245 milliseconds (112.25 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 110,306 milliseconds (110.31 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 109,668 milliseconds (109.67 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 109,363 milliseconds (109.36 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 110,876 milliseconds (110.88 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 72,703 milliseconds (72.70 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 77,829 milliseconds (77.83 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 67,820 milliseconds (67.82 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 78,575 milliseconds (78.58 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 65,074 milliseconds (65.07 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 199,867 milliseconds (199.87 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 145,391 milliseconds (145.39 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 144,365 milliseconds (144.37 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 172,841 milliseconds (172.84 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 181,341 milliseconds (181.34 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 249,370 milliseconds (249.37 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 176,002 milliseconds (176.00 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 173,819 milliseconds (173.82 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 162,219 milliseconds (162.22 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 174,115 milliseconds (174.12 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 41,600 milliseconds (41.60 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 42,251 milliseconds (42.25 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 44,597 milliseconds (44.60 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 41,096 milliseconds (41.10 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 42,370 milliseconds (42.37 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 42,439 milliseconds (42.44 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 42,212 milliseconds (42.21 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 42,363 milliseconds (42.36 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 41,490 milliseconds (41.49 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 41,843 milliseconds (41.84 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 96,895 milliseconds (96.89 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 97,667 milliseconds (97.67 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 103,282 milliseconds (103.28 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 103,243 milliseconds (103.24 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 99,427 milliseconds (99.43 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 98,408 milliseconds (98.41 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 100,781 milliseconds (100.78 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 100,231 milliseconds (100.23 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 98,860 milliseconds (98.86 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 99,840 milliseconds (99.84 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 71,410 milliseconds (71.41 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 73,004 milliseconds (73.00 seconds).
