Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 71,777 milliseconds (71.78 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 78,618 milliseconds (78.62 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 73,400 milliseconds (73.40 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 72,224 milliseconds (72.22 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 66,857 milliseconds (66.86 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 66,377 milliseconds (66.38 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 62,637 milliseconds (62.64 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 81,869 milliseconds (81.87 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 93,340 milliseconds (93.34 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 76,634 milliseconds (76.63 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 167,628 milliseconds (167.63 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 219,700 milliseconds (219.70 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 201,260 milliseconds (201.26 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 280,448 milliseconds (280.45 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 171,001 milliseconds (171.00 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 121,582 milliseconds (121.58 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 112,308 milliseconds (112.31 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 99,820 milliseconds (99.82 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 108,339 milliseconds (108.34 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 106,739 milliseconds (106.74 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 42,214 milliseconds (42.21 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 41,945 milliseconds (41.95 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 42,638 milliseconds (42.64 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 42,216 milliseconds (42.22 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 42,401 milliseconds (42.40 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 41,768 milliseconds (41.77 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 41,882 milliseconds (41.88 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 41,886 milliseconds (41.89 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 42,229 milliseconds (42.23 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 42,025 milliseconds (42.02 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 101,994 milliseconds (101.99 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 106,980 milliseconds (106.98 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 102,490 milliseconds (102.49 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 109,792 milliseconds (109.79 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 110,891 milliseconds (110.89 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 106,939 milliseconds (106.94 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 108,230 milliseconds (108.23 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 138,737 milliseconds (138.74 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 129,943 milliseconds (129.94 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Local   | Total time: 144,956 milliseconds (144.96 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 73,439 milliseconds (73.44 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 83,126 milliseconds (83.13 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 81,176 milliseconds (81.18 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 75,307 milliseconds (75.31 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 103,969 milliseconds (103.97 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 98,309 milliseconds (98.31 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 85,705 milliseconds (85.70 seconds).
Column dimension: 32    |Potential Radius: 10| Inhibition type: Global  | Total time: 88,845 milliseconds (88.84 seconds).
